,precision,recall,f1-score,support
0,0.9285714285714286,0.8297872340425532,0.8764044943820225,47.0
1,0.9166666666666666,0.9166666666666666,0.9166666666666666,36.0
2,0.55,0.7857142857142857,0.6470588235294118,42.0
3,0.6428571428571429,0.21951219512195122,0.32727272727272727,41.0
4,0.9069767441860465,0.9512195121951219,0.9285714285714286,41.0
5,0.9655172413793104,0.8615384615384616,0.9105691056910569,65.0
6,0.9375,0.9375,0.9375,48.0
7,1.0,0.9523809523809523,0.975609756097561,42.0
8,0.9322033898305084,0.9565217391304348,0.944206008583691,115.0
9,0.9767441860465116,0.9333333333333333,0.9545454545454546,45.0
10,0.9142857142857143,0.9696969696969697,0.9411764705882353,33.0
11,0.9487179487179487,0.925,0.9367088607594937,40.0
12,0.9375,0.9574468085106383,0.9473684210526315,47.0
13,0.9696969696969697,0.9142857142857143,0.9411764705882353,35.0
14,0.9166666666666666,1.0,0.9565217391304348,44.0
15,0.8837209302325582,0.9047619047619048,0.8941176470588236,42.0
16,0.9393939393939394,0.7380952380952381,0.8266666666666667,42.0
17,1.0,0.875,0.9333333333333333,56.0
18,1.0,0.9230769230769231,0.96,39.0
19,0.975,0.975,0.975,40.0
20,0.6467065868263473,0.972972972972973,0.7769784172661871,111.0
21,0.868421052631579,0.8918918918918919,0.88,37.0
22,0.9375,0.8108108108108109,0.8695652173913043,37.0
23,0.5319148936170213,0.5555555555555556,0.5434782608695652,45.0
24,0.3939393939393939,0.35135135135135137,0.37142857142857144,37.0
25,0.5555555555555556,0.8571428571428571,0.6741573033707865,35.0
26,0.6875,0.2894736842105263,0.4074074074074074,38.0
27,0.8157894736842105,0.96875,0.8857142857142857,32.0
28,0.95,0.8837209302325582,0.9156626506024096,43.0
29,0.6829268292682927,0.8484848484848485,0.7567567567567568,33.0
30,0.782608695652174,0.75,0.7659574468085106,24.0
31,0.8163265306122449,0.8695652173913043,0.8421052631578947,46.0
32,0.8378378378378378,0.8378378378378378,0.8378378378378378,37.0
33,0.9487179487179487,0.9024390243902439,0.925,41.0
34,0.8974358974358975,0.9210526315789473,0.9090909090909091,38.0
35,0.9411764705882353,0.9411764705882353,0.9411764705882353,34.0
36,0.5,0.2682926829268293,0.3492063492063492,41.0
37,0.5294117647058824,0.7297297297297297,0.6136363636363636,37.0
38,1.0,0.7368421052631579,0.8484848484848485,38.0
40,0.9444444444444444,0.8717948717948718,0.9066666666666666,39.0
41,1.0,0.8979591836734694,0.946236559139785,49.0
42,1.0,0.06818181818181818,0.1276595744680851,44.0
43,0.4588235294117647,0.8666666666666667,0.6,45.0
44,1.0,0.8409090909090909,0.9135802469135802,44.0
45,0.8974358974358975,0.9722222222222222,0.9333333333333333,36.0
46,0.9534883720930233,0.9318181818181818,0.9425287356321839,44.0
47,0.5106382978723404,0.8571428571428571,0.64,28.0
48,0.5,0.11538461538461539,0.1875,26.0
49,0.0,0.0,0.0,11.0
50,0.7307692307692307,0.8837209302325582,0.8,43.0
51,0.9774436090225563,0.9848484848484849,0.9811320754716981,132.0
52,0.7272727272727273,0.9142857142857143,0.810126582278481,35.0
53,0.9568965517241379,0.9910714285714286,0.9736842105263158,112.0
54,0.9858156028368794,0.9928571428571429,0.9893238434163701,140.0
55,0.9734513274336283,0.9649122807017544,0.9691629955947136,114.0
56,0.95,0.7916666666666666,0.8636363636363636,48.0
57,0.975,0.9512195121951219,0.9629629629629629,41.0
accuracy,0.8464609800362977,0.8464609800362977,0.8464609800362977,0.8464609800362977
macro avg,0.8264432892968538,0.8036893019133944,0.7963447821785375,2755.0
weighted avg,0.8593470099543329,0.8464609800362977,0.8366849103548121,2755.0
